Affiliation,Percentage of authors,Authors
Entrust Datacard,0.02%,2
Entrust Datacard Limited,0.01%,1
Entrust Limited,0.03%,4
Entrust Technologies,0.02%,3
enum.at,0.02%,3
Eotvos Lorand University,0.01%,1
EP.NET,0.01%,1
EPFL,0.08%,10
EPFL & Nokia,0.01%,1
EPFL ICA,0.01%,1
EPFL-LCA2,0.03%,4
Epic Systems Corporation,0.01%,1
Epilogue Technology,0.02%,2
Epilogue Technology Corporation,0.02%,2
Episteme Technology Consulting,0.01%,1
EPRI,0.01%,1
ePrivacy Group,0.01%,1
EPSC-UPC,0.01%,1
Equant,0.02%,3
Equinix,0.05%,7
Equipe Communications,0.01%,1
Eran Aloni,0.01%,1
ERDF,0.01%,1
Ericcson,0.01%,1
Ericcsson,0.01%,1
Ericsson,2.26%,299
Ericsson (editor),0.01%,1
Ericsson AB,0.17%,23
Ericsson Australia,0.01%,1
Ericsson Datacom Access,0.01%,1
Ericsson Espana S.A.,0.01%,1
Ericsson Hungary,0.01%,1
Ericsson IPI,0.01%,1
Ericsson Lab Italy,0.02%,3
Ericsson Mobile Communications,0.01%,1
Ericsson NomadicLab,0.02%,2
Ericsson Research,0.12%,16
Ericsson Research Canada,0.02%,2
Ericsson Research Nomadic Lab,0.02%,3
Ericsson Research NomadicLab,0.08%,10
"Ericsson Research, Finland",0.01%,1
Ericsson Telecom,0.01%,1
Ericsson Wireless Communications,0.01%,1
"Ericsson, Stockholm",0.01%,1
"Ericsson, Sweden",0.02%,2
Ericsson-LG,0.01%,1
Erik Nordmark,0.01%,1
Erlang Technology,0.01%,1
Ernst & Young,0.01%,1
ERNW,0.01%,1
ERS/USDA,0.01%,1
ESCAUX,0.01%,1
ESI,0.01%,1
ESnet,0.02%,2
Essex University,0.02%,3
Estacado Systems,0.04%,5
eStarCom,0.01%,1
Ester LE Rouzic,0.01%,1
et al,0.01%,1
ETC Labs Core,0.01%,1
ETH,0.01%,1
ETH Zuerich,0.01%,1
ETH Zurich,0.10%,13
ETH Zürich,0.04%,5
EthAirNet Associates,0.01%,1
Etheric Networks,0.01%,1
Ethernot.org,0.01%,1
ETRI,0.51%,68
ETRI/KOREA,0.01%,1
ETRI/NIST,0.01%,1
ETRI/PEC,0.02%,2
ETRI/SRC,0.01%,1
ETRI/University of Minnesota,0.01%,1
ETRO/Vrije Universiteit Brussel,0.01%,1
ETS,0.01%,1
ETSI,0.01%,1
ETT-R&D Publications,0.01%,1
Eudaemon,0.01%,1
Eurecom,0.02%,2
eurofunk Kappacher,0.01%,1
European Emergency Number,0.01%,1
European Network Laboratories,0.01%,1
European Telecommunication Standards Institute,0.01%,1
Eventful,0.01%,1
Evernote,0.01%,1
EveryDNS,0.01%,1
Evolv,0.01%,1
Ewha Womans Univ.,0.02%,2
Ex-Sun Employee,0.01%,1
Exar Corporation,0.01%,1
Exceliance,0.01%,1
Excite,0.01%,1
EXFO,0.02%,2
Exodus,0.01%,1
Exodus Communications,0.01%,1
Exostar,0.01%,1
Expedia,0.01%,1
"Expedia, Inc.",0.01%,1
Experience IS,0.01%,1
Expired in six months,0.01%,1
Expires in six months,0.01%,1
Extreme,0.01%,1
Extreme Networks,0.10%,13
Extundo,0.01%,1
F redan AB,0.01%,1
F-Secure,0.01%,1
F-Secure Corporation,0.02%,2
F. Andreasen,0.02%,2
F. Iqbal,0.03%,4
F. Kastenholz,0.01%,1
F. Lan,0.02%,2
F. Lindholm,0.02%,2
F. Sunavala,0.02%,2
F. Travostino,0.01%,1
F5,0.02%,3
F5 Networks,0.06%,8
F5 Neworks,0.01%,1
Facebook,0.21%,28
Fachhochschule Dortmund,0.01%,1
FACTOR-TS,0.01%,1
Faculty of Informatics,0.01%,1
Far Field Associates,0.01%,1
Farallon Computing,0.01%,1
Farsight,0.01%,1
Farsight Security,0.02%,3
Fastly,0.09%,12
Fastmail,0.04%,5
FastMail Pty,0.02%,2
FastMail Pty Ltd,0.02%,2
FastMail US,0.01%,1
FastMail US LLC,0.02%,3
"Fastmail, PTY",0.01%,1
FastnLight,0.01%,1
FastSoft,0.01%,1
FAU,0.01%,1
FAU Erlangen-Nürnberg,0.02%,2
FBConsulting,0.01%,1
FBK,0.02%,2
FCC,0.02%,3
FEAC,0.01%,1
February,0.01%,1
Federal Aviation Administration,0.01%,1
Federal University of Parana',0.01%,1
Federal University of Rio Grande do Sul,0.02%,2
Federal University of Rio Grande do Sul (UFRGS),0.01%,1
Federated Solutions,0.01%,1
Fei song,0.01%,1
Feng Qiu,0.01%,1
FER-UNIZG,0.02%,2
Fermi Serverless,0.01%,1
Fermilab,0.01%,1
FFI,0.01%,1
FGAN,0.01%,1
FGAN/FKIE,0.01%,1
FhG Fokus,0.01%,1
FHTW Berlin,0.01%,1
Fiberhome,0.05%,7
Fiberhome Telecom,0.02%,2
Fiberhome/CICT,0.02%,3
Fiberlane,0.01%,1
Fibonacci,0.01%,1
FICORA,0.01%,1
Fijitsu,0.01%,1
Filament,0.01%,1
FileNet,0.02%,2
FireBrick,0.01%,1
Firelytics.com,0.01%,1
First Floor Software,0.02%,2
First Hop,0.02%,2
First Look Media,0.01%,1
First Principles,0.01%,1
First Virtual,0.01%,1
firstRain,0.02%,2
Firwood Consulting,0.01%,1
FIS,0.01%,1
Fitug e.V.,0.01%,1
Five9,0.02%,2
Flarion,0.02%,3
Flarion Technologies,0.04%,5
Flash Networks,0.01%,1
Flextronics Software System,0.01%,1
Flextronics Software Systems,0.02%,3
Florida International University,0.02%,2
Florida State University,0.01%,1
Fluke Networks,0.01%,1
Folly Consulting,0.01%,1
Fondation Restena | Restena Foundation,0.01%,1
For the IAB,0.05%,6
Force10,0.02%,3
Force10 Networks,0.04%,5
Forcepoint,0.01%,1
Fore,0.01%,1
FORE Systems,0.09%,12
Forescout Technologies,0.03%,4
Forge Research,0.01%,1
ForgeRock,0.02%,3
ForgeRock US,0.01%,1
Forsythe Solutions,0.01%,1
Forterra Systems,0.01%,1
Fortinet,0.02%,2
fortiss,0.01%,1
Forwarding Plane,0.01%,1
ForwardingPlane,0.01%,1
Foundry Networks,0.01%,1
FOX,0.01%,1
FQX,0.01%,1
France,0.01%,1
France Telecom,0.43%,57
France Telecom Orange,0.23%,30
France Telecom R&D,0.19%,25
France Telecom RD,0.01%,1
France Telecom Research and,0.01%,1
France Telecom-Orange,0.01%,1
France Telecom-Orange Labs,0.02%,2
France-IX,0.01%,1
FranceTelecom,0.01%,1
Franck Le,0.01%,1
Frank Neil,0.01%,1
Franklin and Marshall College,0.01%,1
"Franklin and Marshall College, Mathematics and Computer Science",0.01%,1
Fraunhofer AISEC,0.02%,2
Fraunhofer FKIE,0.01%,1
Fraunhofer FOKUS,0.07%,9
Fraunhofer Gesellschaft,0.01%,1
Fraunhofer HHI,0.03%,4
Fraunhofer IFAM,0.01%,1
Fraunhofer IIS,0.02%,3
Fraunhofer Institute,0.01%,1
Fraunhofer Institute FOKUS,0.02%,3
Fraunhofer Institute for Secure Information Technology,0.02%,2
Fraunhofer SIT,0.03%,4
Free,0.01%,1
Free Telecom,0.01%,1
FreeBit,0.01%,1
FreeBit Co.,0.01%,1
Freebox S.A.,0.01%,1
FreeBSD,0.01%,1
FreeBSD Project,0.01%,1
FreeGate,0.01%,1
FreeGate Corp.,0.01%,1
FreeLance,0.01%,1
"Freelance, Measurement Lab",0.01%,1
Freelancer,0.01%,1
Freelancer Technologies,0.01%,1
freenet,0.01%,1
freenet.de,0.01%,1
FreeRADIUS,0.01%,1
Freescale,0.03%,4
Freescale Semiconductor,0.02%,2
Freiburg University,0.01%,1
Freie Universitaet Berlin,0.01%,1
Freie Universität Berlin,0.02%,2
Frequentis,0.02%,3
Frequentis AG,0.02%,2
Friedrich-Alexander Universitaet Erlangen-Nuernberg,0.01%,1
Friedrich-Alexander-Universität Erlangen-Nürnberg,0.01%,1
Friesty,0.01%,1
Frontier Communications,0.01%,1
fruux,0.01%,1
FS Consulting,0.01%,1
fsck,0.01%,1
FSIJ,0.01%,1
FT R&D,0.01%,1
Ftel,0.01%,1
fTLD Registry Services,0.01%,1
FTP Software,0.03%,4
FU Berlin,0.02%,2
Fudan University,0.10%,13
Fuji Xerox Info. Systems,0.01%,1
Fujistsu,0.01%,1
Fujitsu,0.14%,19
Fujitsu Lab.,0.02%,2
Fujitsu Laboratories,0.11%,14
Fujitsu Laboratories of America,0.03%,4
Fujitsu Labs,0.02%,2
Fujitsu Labs of America,0.01%,1
Fujitsu Labs.,0.02%,3
Fujitsu Limited,0.03%,4
Fujitsu Network,0.01%,1
Fujitsu Network Communications,0.02%,2
FullCtl,0.01%,1
Fundacio i2CAT,0.01%,1
Fundacion Sadosky,0.01%,1
FUNDP,0.02%,2
Fungible,0.01%,1
Funk Software,0.02%,2
Furukawa Network Solution,0.01%,1
Furukawa Network Solution Corp.,0.01%,1
Furukawa Network Solutions Corp.,0.01%,1
Future DOS R&D,0.02%,2
Future Foundation,0.01%,1
Future Invest,0.01%,1
Future Software,0.01%,1
Future Technologies,0.01%,1
Futurewai,0.01%,1
Futurewei,0.19%,25
Futurewei Networks,0.01%,1
Futurewei Technologies,0.19%,25
Futurewei Technologies Inc. USA,0.01%,1
Futurewei Technologies Inc. USA,0.01%,1
Futurewei Technologies USA,0.02%,2
Futurewei Technologies USA,0.01%,1
Futurewei USA,0.02%,2
"Futurewei, Future Networks",0.01%,1
"Futurewei, USA",0.02%,2
Fynbos,0.02%,2
G.,0.01%,1
G. Baese,0.01%,1
G. Montasser-Kohsari,0.01%,1
G. Renker,0.01%,1
G. Sission,0.01%,1
G. Wang,0.01%,1
G. Xiang,0.02%,2
G.G.S.I.P.U,0.01%,1
g10 Code,0.01%,1
G11,0.01%,1
G1M Co.,0.01%,1
G3 Nova Technology,0.01%,1
Gadzoox Networks,0.03%,4
Gainspeed,0.01%,1
Galdos Systems,0.01%,1
Gallaudet University,0.01%,1
Gamma Communications,0.01%,1
Gandalf,0.01%,1
Gang Feng,0.01%,1
Ganymede Software,0.01%,1
Garmin International,0.01%,1
GARR-Italy,0.02%,2
Gartner Group,0.01%,1
GaTech,0.01%,1
Gdansk University of Technology,0.02%,2
GDC,0.01%,1
GE Digital Energy,0.01%,1
GE Global Research,0.02%,2
GE GRC,0.01%,1
GE MDS,0.01%,1
GEANT,0.01%,1
Gecko Software,0.01%,1
Geer Zolot Associates,0.01%,1
Gemini Security Solutions,0.01%,1
Gemplus,0.01%,1
Gen Digital,0.01%,1
GENBAND,0.01%,1
Gene Tsudik,0.01%,1
General DataComm,0.02%,2
General Dynamics Mission Systems,0.02%,3
General Electric,0.01%,1
Genesys,0.02%,2
"Genesys, Alcatel-Lucent",0.01%,1
genua,0.02%,2
genua mbH,0.01%,1
Genuity,0.01%,1
George Babics/Steltor,0.01%,1
George Mason U.,0.02%,2
George Mason Univ,0.02%,2
George Mason University,0.02%,2
Georgetown University,0.01%,1
Georgia Institute of Technology,0.08%,11
Georgia Tech,0.01%,1
Georgia Tech University,0.01%,1
Georgian Internet Avenue,0.01%,1
Gerald Maziarski,0.01%,1
German Aerospace Center (DLR),0.02%,2
Gesher Erove,0.01%,1
GET ENST Bretagne,0.01%,1
GET-Telecom Paris,0.01%,1
GET/ENST Bretagne,0.04%,5
GET/ENST-B,0.01%,1
GET/INT,0.01%,1
Gett Communications,0.01%,1
Ghent University - imec,0.02%,2
Ghent University IBCN,0.01%,1
Ghent University – imec,0.01%,1
Gianluca Iannaccone,0.01%,1
GIE DYADE,0.01%,1
GigaBeam,0.01%,1
Gigamon,0.01%,1
Giganet,0.01%,1
Gigapacket Networks,0.01%,1
GIP RENATER,0.01%,1
GIS,0.01%,1
Gisli Hjalmtysson,0.01%,1
GISS,0.01%,1
GITDA,0.01%,1
GitHub,0.01%,1
GitLab,0.01%,1
"GITS, Waseda University",0.01%,1
GLEIF,0.01%,1
Global Crossing,0.03%,4
Global Financial Networks Limited,0.01%,1
Global Graphics,0.01%,1
Global IP Solutions,0.01%,1
Global IP Sound,0.03%,4
Global Workflow Solutions,0.01%,1
GlobalCast Communications,0.02%,3
Globalcrossing,0.01%,1
Globallogic,0.01%,1
GlobeSet,0.01%,1
Globis Consulting BV,0.01%,1
GMD,0.01%,1
GMD FOKUS,0.02%,2
GMO Cybersecurity by Ierae,0.02%,2
GNU consensus,0.01%,1
GNU Project,0.01%,1
GNUnet e.V.,0.01%,1
GnuPG e.V.,0.01%,1
Go6 Institute,0.01%,1
GoalTree Consulting,0.01%,1
GoDaddy,0.05%,6
Goettingen University,0.01%,1
Gold Wire Technology,0.01%,1
Goldman Sachs,0.02%,2
Golisano College of Computing and Information Sciences,0.01%,1
Gong Zhenghu,0.01%,1
Google,2.03%,269
Google Fiber,0.01%,1
Google Japan,0.01%,1
Google Japan KK,0.01%,1
Google Switzerland,0.05%,6
Google UK,0.02%,2
Google.,0.02%,2
Google/Jet Propulsion Laboratory,0.01%,1
Gotham Networks,0.01%,1
Govindaraj Sampathkumar,0.03%,4
govirtual.com.au,0.01%,1
GQ Wang,0.01%,1
Grab,0.02%,2
GRACELAND.COM,0.01%,1
Grad Student,0.01%,1
Grad Student UC Berkley,0.01%,1
Graduate School of Science and,0.02%,3
Graduate University of Chinese,0.01%,1
Grafana Labs,0.01%,1
Gran Sasso Science Institute,0.01%,1
Grandcolas Consulting,0.01%,1
Graphiant,0.02%,3
Graphics Communication Laboratories,0.01%,1
Graz University of Technology,0.02%,2
"GRC, Huawei Technologies",0.02%,3
Great Wall Asset Management,0.01%,1
GREE,0.01%,1
"GREE, Inc.",0.01%,1
Green Hills Software,0.01%,1
greenbytes,0.02%,2
Greenspector,0.02%,2
Gregory D. Troxel,0.01%,1
Grenoble Informatics Laboratory,0.02%,2
Grenoble Institute of Technology,0.02%,3
GRIC,0.01%,1
Grid2Home,0.01%,1
GridFury,0.01%,1
Gridmerge,0.01%,1
GridTICs - UTN FRM,0.02%,2
Grotto,0.01%,1
Grotto Networking,0.01%,1
Grotto-Networking,0.01%,1
Gryphon Technology,0.01%,1
GSM Association,0.01%,1
GSMA,0.01%,1
GSTA,0.01%,1
GSYC/URJC,0.01%,1
GTE Internetworking,0.02%,2
GTE Laboratories,0.04%,5
GTE Wireless,0.01%,1
GTS Network,0.01%,1
Guangdong Commercial College,0.01%,1
Guangzhou Genlian,0.02%,3
Guangzhou Root Chain International Network Research Institute Co.,0.05%,7
Guangzhou University,0.05%,6
"Guangzhou, China",0.02%,2
Guardeonic Solutions,0.01%,1
Guardian,0.01%,1
Guardian Project,0.01%,1
Gunnar Hellstrom Accessible Communication,0.01%,1
GVNW Consulting,0.01%,1
H-DA,0.01%,1
H-log,0.01%,1
H. Chong,0.01%,1
H. Deng,0.01%,1
H. Jegers,0.01%,1
H. LABIOD,0.01%,1
H. Schulzrinne,0.01%,1
H. Xie,0.02%,3
H.-J. Lim,0.01%,1
H.-Y. Tyan,0.01%,1
H.Izumiyama,0.01%,1
H3C,0.08%,10
H3C Corporation,0.02%,2
H3C Tech. Co.,0.02%,3
H3C Technologies,0.04%,5
H3C Technology Co.,0.02%,3
Hackers Mauritius,0.01%,1
Hackers.mu,0.01%,1
Hackmanit,0.02%,2
Hadron Industries,0.01%,1
Hagedorn Informationssysteme,0.01%,1
Hai Gaoming B.V,0.01%,1
Hai Gaoming BV,0.01%,1
Hainan University,0.01%,1
"Hainan University, College of Information Science and Technology",0.01%,1
Haivision,0.01%,1
Haivision Network Video,0.02%,2
Haivision Systems,0.01%,1
Halasz Ventures,0.01%,1
HamBSD,0.01%,1
Hamilton Institute,0.01%,1
Hammerhead Systems,0.02%,2
Hammerspace,0.02%,2
Hang Seng Management College,0.01%,1
Hangzhou BAUD Networks,0.01%,1
Hangzhou Domain Zones Tech.Co.,0.01%,1
Hangzhou DPtech,0.01%,1
HangZhou H3C Co. Limited,0.03%,4
Hangzhou H3C Tech. Co.,0.06%,8
"Hangzhou H3C Tech. Co., Ltd.",0.03%,4
HAProxy Technologies,0.01%,1
Harbour Networks,0.01%,1
Harlequin,0.01%,1
HARMAN,0.01%,1
Harris Corporation,0.02%,2
Harvard,0.01%,1
Harvard Kennedy School,0.01%,1
Harvard U.,0.01%,1
Harvard University,0.02%,3
Harvey Mudd College,0.04%,5
Hasnaa MOUSTAFA,0.01%,1
Hasselt University,0.01%,1
Hasso Plattner Institute,0.02%,3
Hatteras Networks,0.02%,2
Hauwei,0.01%,1
HAW Hamburg,0.05%,6
"HAW Hamburg, Informatics Department",0.01%,1
HbbTV Association,0.02%,2
HCL Software,0.01%,1
HCL Technologies,0.04%,5
HCL-CISCO ODC,0.01%,1
He-Wu Li,0.01%,1
Healing Thresholds,0.01%,1
Heatherdale Group,0.01%,1
Hebei University of Engineering,0.02%,3
Hebrew University,0.01%,1
Hebrew University of Jerusalem,0.03%,4
HEIG-VD,0.02%,2
Hellō,0.01%,1
Helsinki Institute for,0.02%,2
Helsinki Institute for Information,0.05%,7
Helsinki Institute for Information Technology,0.01%,1
Helsinki University Library,0.01%,1
Helsinki University of Technology,0.05%,7
Henning Schulzrinne,0.01%,1
hereUare,0.01%,1
HERIT,0.01%,1
Herve Schauer Consultants,0.02%,2
HES-SO,0.03%,4
Hethmon Brothers,0.01%,1
Hethmon Software,0.01%,1
Hewlett Packard,0.05%,6
Hewlett Packard Co.,0.02%,2
Hewlett Packard Company,0.02%,3
Hewlett Packard Enterprise,0.05%,6
Hewlett Packard Enterprise Co.,0.01%,1
Hewlett Packard Labs,0.02%,2
Hewlett-Packard,0.15%,20
Hewlett-Packard Co.,0.04%,5
Hewlett-Packard Company,0.13%,17
Hewlett-Packard Corp,0.01%,1
Hewlett-Packard Corp.,0.03%,4
Hewlett-Packard Corporation,0.03%,4
Hewlett-Packard Enterprise,0.01%,1
Hewlett-Packard Laboratories,0.01%,1
HexaBuild,0.02%,3
Hexago,0.01%,1
HFCL R&D,0.01%,1
HFCL-IISc Research Program,0.01%,1
HFT Stuttgart - Univ. of Applied Sciences,0.01%,1
"HGI, Ruhr-University Bochum",0.02%,2
Hi/fn,0.01%,1
Hibernia Networks,0.01%,1
Hickory Hill,0.01%,1
Hickory Hill Consulting,0.02%,2
HID Global,0.01%,1
Hifn,0.02%,3
Higgs America,0.01%,1
Higgs Communications,0.01%,1
High North,0.02%,2
Highland School,0.01%,1
HIIT,0.05%,6
HIIT/ICSI,0.01%,1
Hikvision,0.06%,8
Hill & Associates,0.01%,1
Hill Associates,0.02%,2
Hiroshima University,0.02%,2
Hirschmann Automation and Control,0.02%,3
Hirschmann Electronics,0.01%,1
Hisham Khartabi,0.02%,2
Hitachi,0.14%,19
Hitachi (China),0.02%,3
Hitachi (China) Research and,0.02%,2
Hitachi (China) Research and Development Corporation,0.01%,1
Hitachi Data Systems,0.01%,1
Hitachi Europe,0.02%,3
Hitachi Koki Imaging Solutions,0.01%,1
Hitachi Printing Solutions,0.01%,1
Hitachi R&D China,0.01%,1
Hitachi Soft,0.01%,1
Hitachi(China),0.01%,1
HK University of Science and Technology,0.01%,1
HKUST,0.01%,1
HKUST (Guangzhou),0.01%,1
HKUST(GZ),0.01%,1
HNR Consulting,0.01%,1
Hobbyist developer,0.01%,1
Hobu,0.01%,1
Hochschule Darmstadt,0.01%,1
Hochschule Esslingen,0.01%,1
Hochschule Esslingen - University of Applied Sciences,0.01%,1
Hochschule Esslingen - University of Applied Sciences,0.01%,1
Home Jinni,0.01%,1
Honeywell,0.04%,5
Hong Kong Polytechnic University,0.01%,1
Hong Kong University of Science and Technology,0.01%,1
Hong Kong University of Science and Technology (Guangzhou),0.01%,1
Hongfei Chen,0.01%,1
Hongyong.Jia,0.01%,1
Hookflash,0.02%,2
Hopcount,0.01%,1
Hossam Afifi,0.01%,1
Hostinger,0.01%,1
HotNIC,0.01%,1
Hotsip,0.02%,2
Houston Associates,0.02%,2
HP,0.09%,12
HP Enterprise,0.02%,3
HP Laboratories Bristol,0.01%,1
HP Labs,0.03%,4
HP Networking,0.02%,2
HP Visual Collaboration,0.01%,1
HPE,0.04%,5
HPE Aruba,0.01%,1
HPL,0.01%,1
HRL,0.01%,1
HRL Labs,0.01%,1
Hrvatski Telekom,0.01%,1
HSA,0.01%,1
HSBC,0.01%,1
HSC,0.02%,2
HSCOMMS,0.01%,1
HTT 	Consulting,0.01%,1
HTT Consulting,0.01%,1
Hua Wu,0.02%,3
Hua-Chun Zhou,0.01%,1
HuaaWei,0.01%,1
HuaiMo Chen,0.02%,2
Huaiyin Institute of Technology,0.02%,2
Huawei,3.07%,407
Huawei & USTC,0.01%,1
Huawei (USA),0.03%,4
Huawei - Futurewei Technologies,0.01%,1
Huawei 2012 NT Lab,0.03%,4
Huawei Canada,0.02%,3
Huawei Canada Research Centre,0.01%,1
Huawei Cloud,0.03%,4
Huawei ERC,0.02%,3
Huawei German Research Center,0.01%,1
Huawei Internatinoal Pte,0.01%,1
Huawei International Pte.,0.02%,3
Huawei Ireland Research Centre,0.01%,1
Huawei Lab at UC3M,0.01%,1
Huawei Labs at UC3M,0.01%,1
Huawei Nanjing China,0.02%,2
Huawei Network.IO Innovation Lab,0.01%,1
Huawei R&D USA,0.03%,4
Huawei Research Center,0.01%,1
Huawei Smart Platforms iLab,0.01%,1
Huawei Symantec,0.05%,7
Huawei Tech,0.04%,5
Huawei Tech.,0.02%,2
Huawei Technologies,3.17%,420
Huawei Technologies (2012Lab),0.01%,1
Huawei Technologies Co.,0.77%,102
Huawei Technologies Duesseldorf,0.04%,5
Huawei Technologies Dusseldorf,0.01%,1
Huawei Technologies France,0.01%,1
Huawei Technologies France S.A.S.U,0.01%,1
Huawei Technologies France S.A.S.U.,0.02%,2
Huawei Technologies India Pvt,0.02%,3
Huawei Technologies India Pvt.,0.01%,1
Huawei Technologies USA,0.03%,4
"Huawei Technologies, Co.",0.02%,3
"Huawei Technologies, Co.,",0.02%,3
"Huawei Technologies,Co.",0.02%,2
Huawei Technologies.,0.06%,8
Huawei Technology,0.06%,8
Huawei Technology Co.,0.01%,1
Huawei Technology Pte.,0.02%,2
Huawei Techologies,0.01%,1
Huawei Techonologies Co.,0.01%,1
"Huawei Techonologies Co., Ltd.",0.01%,1
Huawei USA,0.11%,15
Huawei USA - Futurewei Technologies,0.01%,1
Huawei-Symantec Technologies,0.02%,2
Huaweil,0.01%,1
HuaweiSymantec,0.02%,3
Huaweisymantec Technologies,0.01%,1
HuaweiSymantec USA,0.01%,1
HuaweiTech,0.01%,1
Huazhong University of Science and Technology,0.04%,5
Hudson River Trading,0.01%,1
HUFS,0.02%,3
Hughes LAN Systems,0.01%,1
Hughes Network Systems,0.03%,4
Hughes Software,0.02%,2
Hughes Software Systems,0.04%,5
Hughes Systique,0.01%,1
Hughes Systique Corp.,0.01%,1
Human Communications,0.02%,2
Hummingbird,0.01%,1
Hurricane Electric,0.02%,2
HW Embedded,0.01%,1
HYDRO-QUEBEC,0.01%,1
HyerVision,0.01%,1
Hyogo Prefectural Ono High School,0.01%,1
HyTrust,0.01%,1
Hyundai Network Systems,0.01%,1
i-data Printing Systems,0.01%,1
i-EMAIL.net,0.01%,1
i-Pass Alliance,0.01%,1
I. de Miguel,0.01%,1
I. Wijanands,0.01%,1
I.Busi,0.01%,1
I.E.C.C.,0.01%,1
I.I.T Madras,0.03%,4
I.I.T Madras.,0.02%,3
I.Net,0.01%,1
I.Y Fung,0.01%,1
i3D.net,0.01%,1
IAB,0.12%,16
IAB and IESG,0.01%,1
IAB Chair,0.01%,1
IAB Security Program,0.02%,2
IABG,0.01%,1
IAEA,0.02%,2
IANA,0.02%,2
IBBT,0.01%,1
IBBT- Ghent University,0.01%,1
IBM,0.94%,125
IBM Almaden,0.03%,4
IBM CIO Innovation,0.01%,1
IBM Corp,0.01%,1
IBM Corp.,0.13%,17
IBM Corpn.,0.02%,2
IBM Corporation,0.23%,31
IBM Germany R&D,0.02%,2
IBM Global Services India,0.01%,1
IBM Linux Technology Center,0.01%,1
IBM Microelectronics,0.01%,1
IBM Printing Company,0.01%,1
IBM Printing Systems Co,0.01%,1
IBM Research,0.16%,21
IBM Research and the Technion,0.01%,1
IBM Research Europe - Zurich,0.02%,2
IBM T J Watson Research Center,0.01%,1
IBM T. J. Watson Research,0.02%,3
IBM T. J. Watson Research Center,0.01%,1
IBM T.J. Watson Research Center,0.02%,2
IBM Thomas J. Watson Research,0.01%,1
IBM Tivoli Software,0.01%,1
IBM Tokyo Research Laboratory,0.01%,1
IBM UK,0.01%,1
IBM United Kingdom Limited,0.01%,1
IBM Watson,0.02%,3
IBM Watson Research Center,0.02%,2
IBM Zurich Research Laboratory,0.01%,1
"IBR, TU Braunschweig",0.02%,2
iC Consult,0.01%,1
ICAIR,0.02%,2
ICANN,0.21%,28
ICAT,0.01%,1
ICC,0.01%,1
Icesi University,0.01%,1
ICEsoft Technologies,0.01%,1
ICIR,0.02%,3
ICIR/ICSI,0.01%,1
ICL,0.01%,1
ICL Enterprise Systems,0.01%,1
ICN LAB of Soongsil UNIV,0.01%,1
Icomera,0.01%,1
Icon Medialab,0.01%,1
iconectiv,0.02%,2
ICR,0.01%,1
"ICR, NUS",0.01%,1
ICRC,0.01%,1
ICSAlabs,0.01%,1
ICSAlabs a Division of Cybertrust,0.01%,1
"ICSAlabs, An Independent",0.01%,1
ICSI,0.02%,3
ICSI Center for Internet Research,0.02%,2
ICSI/UC Berkeley,0.01%,1
ICT,0.03%,4
ICT Chinese Academy of Sciences,0.01%,1
"ICT, CAS",0.02%,2
ICT-CAS,0.01%,1
ICT/CAS,0.01%,1
"ICTEAM, Universite catholique de",0.01%,1
ICTP,0.01%,1
ICU,0.04%,5
ID/INOV,0.01%,1
id3as-company,0.01%,1
IDcide,0.01%,1
IdentAware,0.01%,1
Idirect,0.01%,1
iDirect Technologies,0.01%,1
IDsec Solutions AB,0.01%,1
IDT,0.02%,2
IE Domain Registry,0.01%,1
IEA Software,0.01%,1
IECA,0.02%,3
IEEE,0.02%,3
IEEE-SA President,0.01%,1
IESG,0.01%,1
IESG Chair,0.01%,1
IESG Internet AD,0.01%,1
IETF,0.03%,4
IETF Administration,0.03%,4
IETF Chair,0.01%,1
IETF NOC Team,0.01%,1
IETF ROLL WG,0.01%,1
IETF/IESG Chair,0.01%,1
Iformata Communications,0.01%,1
IFRN,0.01%,1
Igalia,0.01%,1
"Igalia, S.L.",0.01%,1
IHTFP Consulting,0.01%,1
II,0.02%,2
IID,0.01%,1
"IIE, CAS",0.01%,1
IIE/Chinese Academy of Sciences,0.02%,2
III,0.01%,1
III / ISI,0.01%,1
IIJ,0.04%,5
IIJ & Arrcus,0.01%,1
IIJ Innovation Institute,0.02%,2
IIJ Research & Arrcus,0.01%,1
IIJ Research Lab & Arrcus,0.01%,1
IIJ Research Laboratory,0.03%,4
"IIJ Research, Arrcus, & DRL",0.01%,1
IIS,0.02%,2
IIT Kharagpur,0.01%,1
IIT Madras,0.04%,5
"IIT, Kanpur",0.02%,2
IIT-CNR,0.01%,1
IIT-CNR/Registro.it,0.02%,3
IJsbrands Wijnands,0.01%,1
IK4-IKERLAN,0.01%,1
Ikerlan,0.02%,2
"IKN, Vienna University",0.02%,2
IKR University of Stuttgart,0.01%,1
IKS,0.01%,1
Illinois Institute of Technology,0.04%,5
Illuminated Security,0.01%,1
IMAG,0.01%,1
iMagicTV,0.01%,1
IMC,0.01%,1
IMC & VPNC,0.01%,1
IMDEA Networks,0.03%,4
IMDEA Networks and UC3M,0.01%,1
IMDEA Networks/UC3M,0.01%,1
iMinds,0.01%,1
iMinds-IBCN/UGent,0.02%,3
Immersion Corporation,0.02%,2
IMOT,0.01%,1
Impedance Mismatch,0.01%,1
IMT Atlantique,0.07%,9
IMT-Atlantique,0.01%,1
IMT-TELECOM Bretagne,0.01%,1
